A,B,class
17,41,0
0,34,0
24,19,0
8,28,0
14,12,0
45,5,0
27,31,0
41,11,0
42,45,0
36,27,0
4,41,0
3,2,0
32,42,0
16,21,0
45,18,0
26,47,0
38,21,0
12,19,0
49,17,0
44,35,0
11,3,0
33,22,0
14,23,0
11,41,0
18,3,0
44,47,0
7,12,0
9,37,0
41,23,0
28,29,0
35,16,0
42,40,0
6,38,0
42,40,0
48,14,0
5,46,0
29,40,0
0,20,0
1,6,0
48,43,0
23,29,0
4,34,0
40,6,0
26,16,0
8,31,0
39,44,0
23,26,0
38,37,0
32,18,0
41,29,0
15,33,0
8,39,0
30,4,0
6,27,0
36,23,0
45,21,0
22,24,0
29,20,0
23,27,0
12,47,0
40,36,0
36,11,0
17,5,0
24,5,0
2,31,0
0,0,0
24,41,0
30,16,0
41,7,0
37,7,0
37,7,0
33,3,0
9,45,0
8,9,0
38,21,0
46,22,0
30,6,0
18,13,0
41,0,0
5,12,0
9,10,0
37,24,0
33,48,0
41,45,0
0,2,0
36,41,0
20,24,0
21,46,0
49,48,0
34,18,0
34,31,0
49,3,0
38,18,0
38,0,0
17,27,0
43,28,0
33,48,0
21,7,0
17,10,0
14,13,0
