A,B,C,class
34,17,41,0
24,19,0,0
12,8,28,0
45,5,14,0
11,27,31,0
42,45,41,0
41,36,27,0
3,2,4,0
21,32,42,0
45,18,16,0
21,26,47,0
12,19,38,0
35,49,17,0
11,3,44,0
23,33,22,0
11,41,14,0
47,18,3,0
7,12,44,0
23,9,37,0
28,29,41,0
40,35,16,0
6,38,42,0
14,42,40,0
5,46,48,0
20,29,40,0
1,6,0,0
29,48,43,0
4,34,23,0
16,40,6,0
8,31,26,0
26,39,44,0
38,37,23,0
29,32,18,0
15,33,41,0
4,8,39,0
6,27,30,0
21,36,23,0
22,24,45,0
27,29,20,0
12,47,23,0
11,40,36,0
17,5,36,0
31,24,5,0
0,0,2,0
16,24,41,0
41,7,30,0
7,37,7,0
33,3,37,0
9,9,45,0
38,21,8,0
