a,b,c,class
34,17,41,0
24,19,0,0
12,8,28,0
45,5,14,0
11,27,31,0
42,45,41,0
41,36,27,0
3,2,4,0
21,32,42,0
45,18,16,0
21,26,47,0
12,19,38,0
35,49,17,0
11,3,44,0
23,33,22,0
11,41,14,0
47,18,3,0
7,12,44,0
23,9,37,0
28,29,41,0
40,35,16,0
6,38,42,0
14,42,40,0
5,46,48,0
20,29,40,0
1,6,0,0
29,48,43,0
4,34,23,0
16,40,6,0
8,31,26,0
26,39,44,0
38,37,23,0
29,32,18,0
15,33,41,0
4,8,39,0
6,27,30,0
21,36,23,0
22,24,45,0
27,29,20,0
12,47,23,0
11,40,36,0
17,5,36,0
31,24,5,0
0,0,2,0
16,24,41,0
41,7,30,0
7,37,7,0
33,3,37,0
9,9,45,0
38,21,8,0
6,46,22,0
18,13,30,0
12,41,0,0
9,10,5,0
48,37,24,0
41,45,33,0
41,0,2,0
20,24,36,0
48,21,46,0
34,18,49,0
3,34,31,0
38,18,49,0
27,38,0,0
43,28,17,0
7,33,48,0
17,10,21,0
9,14,13,0
1,35,16,0
19,49,0,0
3,48,6,0
44,8,24,0
2,39,9,0
43,35,45,0
37,23,43,0
48,3,14,0
18,8,0,0
48,46,30,0
48,39,31,0
22,7,9,0
42,38,22,0
40,29,38,0
41,8,7,0
6,38,15,0
34,2,11,0
28,5,22,0
36,12,46,0
19,33,25,0
16,44,42,0
22,48,31,0
49,21,1,0
42,26,7,0
12,25,39,0
3,10,0,0
38,11,19,0
5,39,1,0
35,2,23,0
38,35,32,0
7,17,26,0
19,32,32,0
39,21,4,0
18,29,26,0
5,25,42,0
41,49,34,0
10,45,12,0
39,3,18,0
46,29,23,0
49,29,37,0
49,16,37,0
47,45,43,0
5,36,16,0
5,32,38,0
1,14,34,0
36,21,16,0
5,13,13,0
12,3,35,0
45,32,8,0
21,6,13,0
32,46,8,0
46,44,31,0
11,29,22,0
23,0,35,0
9,44,16,0
3,39,42,0
10,4,24,0
36,49,45,0
22,24,13,0
37,18,18,0
41,8,5,0
27,25,2,0
24,14,14,0
22,24,34,0
20,33,9,0
18,47,37,0
20,23,27,0
42,18,13,0
30,2,35,0
2,27,13,0
25,27,49,0
23,24,43,0
31,11,22,0
5,32,3,0
31,25,43,0
22,42,42,0
0,14,36,0
13,10,37,0
20,20,24,0
11,33,35,0
17,46,10,0
40,0,35,0
24,45,44,0
26,25,19,0
2,8,44,0
28,16,21,0
34,1,43,0
19,14,18,0
37,0,2,0
10,26,10,0
15,20,7,0
43,27,26,0
9,14,8,0
15,36,32,0
24,27,37,0
29,27,25,0
20,23,28,0
23,12,2,0
11,37,46,0
14,25,45,0
16,2,10,0
11,26,30,0
47,11,21,0
40,20,3,0
13,38,24,0
12,1,40,0
13,0,29,0
15,28,8,0
0,27,7,0
3,39,8,0
24,7,10,0
13,8,27,0
0,1,37,0
43,28,10,0
40,5,34,0
35,4,11,0
0,22,6,0
6,35,23,0
7,26,16,0
37,7,26,0
11,19,21,0
17,22,46,0
46,17,12,0
23,41,35,0
15,29,29,0
46,32,9,0
12,3,5,0
4,34,34,0
19,7,22,0
7,13,32,0
35,11,33,0
25,48,17,0
42,23,38,0
